date,industry,name,opportunities,salary,qualification
11/04/2023 15:54,Information & Communication Technology careers,.Net Developer,"2,004",$120K,"Complete a relevant qualification, such as a Bachelor of Computer Science or Bachelor of Information Technology. "
11/04/2023 15:54,Information & Communication Technology careers,Acquisition Consultant,6,N/A,no data
11/04/2023 15:54,Information & Communication Technology careers,Agile Business Analyst,"1,432",$130K,Explore formal training options. There are many different courses depending on your interests and skills. Some options may include a Bachelor of Computer Science or a Bachelor of Information Technology.
11/04/2023 15:54,Information & Communication Technology careers,Analyst Developer,168,$115K,no data
11/04/2023 15:54,Information & Communication Technology careers,Analyst Programmer,"1,094",$100K,"There are a range of different formal training options that provide an entry into the information technology industry, such as a Diploma of Information Technology (ICT50115) or an Advanced Diploma of Information Technology Business Analysis (ICT60315)."
11/04/2023 15:54,Information & Communication Technology careers,Analytics Consultant,22,$128K,no data
11/04/2023 15:54,Information & Communication Technology careers,Analytics Manager,191,$140K,no data
11/04/2023 15:54,Consulting & Strategy careers,Analytics Specialist,27,$120K,no data
11/04/2023 15:54,Information & Communication Technology careers,Android Developer,491,$128K,"Complete a relevant degree, such as a Bachelor of Computer Science or Bachelor of Software Engineering (Honours). This usually takes three to four years. "
11/04/2023 15:54,Information & Communication Technology careers,Angular Developer,211,$123K,no data
11/04/2023 15:54,Information & Communication Technology careers,Application Architect,250,$170K,no data
11/04/2023 15:54,Information & Communication Technology careers,Application Consultant,32,$100K,no data
11/04/2023 15:54,Information & Communication Technology careers,Application Specialist,155,$110K,no data
11/04/2023 15:54,Information & Communication Technology careers,Applications Analyst,112,$110K,no data
11/04/2023 15:54,Information & Communication Technology careers,Applications Developer,319,$98K,no data
11/04/2023 15:54,Information & Communication Technology careers,Applications Manager,165,$140K,no data
11/04/2023 15:54,Administration & Office Support careers,Applications Officer,59,$70K,no data
11/04/2023 15:54,Information & Communication Technology careers,Applications Support Analyst,"2,772",$90K,no data
11/04/2023 15:54,Information & Communication Technology careers,Architecture Manager,58,N/A,no data
